3x3 0.3 1000 2
3x3 0.3 2000 2
3x3 0.3 3000 4
3x3 0.3 4000 5
3x3 0.3 5000 9
3x3 0.3 6000 10
3x3 0.3 7000 11
3x3 0.3 8000 12
3x3 0.3 9000 13
3x3 0.3 10000 14
3x3 0.3 11000 17
3x3 0.3 12000 19
3x3 0.3 13000 23
3x3 0.3 14000 24
3x3 0.3 15000 23
3x3 0.3 16000 27
3x3 0.3 17000 29
3x3 0.3 18000 31
3x3 0.3 19000 35
3x3 0.3 20000 31
3x3 0.3 21000 29
3x3 0.3 22000 34
3x3 0.3 23000 40
3x3 0.3 24000 39
3x3 0.3 25000 37
3x3 0.3 26000 36
3x3 0.3 27000 49
3x3 0.3 1000 3
455943x3 0.3 2000 4
639123x3 0.3 3000 5
661913x3 0.3 4000 6
802523x3 0.3 2000 4
03x3 0.3 3000 5
03x3 0.3 11000 32
03x3 0.3 12000 25
03x3 0.3 1000 2 0
3x3 0.3 2000 3 0
3x3 0.3 9000 16 0
3x3 0.3 10000 17 0
3x3 0.3 11000 22 0
3x3 0.3 12000 31 0
3x3 0.3 13000 33 0
3x3 0.3 14000 48 0
3x3 0.3 1000 2 39
3x3 0.3 2000 2 52
3x3 0.3 3000 5 77
3x3 0.3 4000 8 83
3x3 0.3 5000 8 84
3x3 0.3 1000 2 39
3x3 0.3 2000 3 58
3x3 0.3 1000 2 40
3x3 0.3 2000 3 55
3x3 0.3 3000 5 70
3x3 0.3 1000 2 36
3x3 0.3 2000 3 65
3x3 0.3 1000 2 34
3x3 0.3 2000 3 58
3x3 0.3 1000 1 37
3x3 0.3 2000 3 59
3x3 0.3 1000 2 36
3x3 0.3 2000 3 58
3x3 0.3 1000 2 37
3x3 0.3 2000 3 57
3x3 0.3 1000 2 37
3x3 0.3 2000 3 59
3x3 0.3 3000 4 68
3x3 0.3 1000 2 37
3x3 0.3 2000 3 55
3x3 0.3 3000 5 79
3x3 0.3 4000 6 76
3x3 0.3 5000 9 102
3x3 0.3 1000 2 36
3x3 0.3 2000 4 55
3x3 0.3 1000 2 37
3x3 0.3 2000 3 64
3x3 0.3 3000 5 70
3x3 0.3 4000 6 75
3x3 0.3 5000 9 97
3x3 0.3 6000 12 102
3x3 0.3 7000 13 97
3x3 0.3 8000 14 110
3x3 0.3 9000 16 119
3x2 0.3 1000 0 4
3x2 0.3 2000 1 4
3x2 0.3 3000 3 5
3x2 0.3 4000 2 4
3x2 0.3 5000 6 5
3x2 0.3 6000 3x3 0.3 1000 3 37
3x3 0.3 2000 3x3 0.3 1000 2 37
3x3 0.3 2000 
